Job,Location,Job Schedules
Vermeer Dental,"1100 E 33rd St., Suite 105A, Baltimore, MD 21218",DMV Schedule
Deliveries Vermeer Dental,"1100 E 33rd St., Suite 105A, Baltimore, MD 21218",DMV Schedule
Germantown Pediatric Dental Center,"19847 Century Blvd., Lobby B, Suite 215, Germantown, MD 20874",DMV Schedule
Deliveries Germantown Pediatric Dental Center,"19847 Century Blvd., Lobby B, Suite 215, Germantown, MD 20874",DMV Schedule
101st Adult Dentistry,"271 Stonecrossing Dr., Clarksville, TN 37042",Nashville
Island Cosmetic & Family Dentistry,"41 N Orlando Ave., Cocoa Beach, FL	32931","Florida, Texas"
Deibler Dental,"1075 Berkshire Blvd suite 850, Wyomissing, PA 19610, USA",Penn/South Jersey
Somerset Dental Professionals,"1527 NJ-27, Suite 2700, Somerset, NJ 08873","Penn/South Jersey, Northeast"
Valley Stream Dental,"41-B West Merrick Rd., Valley Stream, NY 11580",Northeast
Emerald Hills Dental Center,"3856 Sheridan St., Hollywood, FL 33021",Florida
Glow Dental,"7636 Belair Rd, Nottingham, Baltimore, MD 21236, USA",DMV Schedule
Deliveries Glow Dental,"7636 Belair Rd, Nottingham, Baltimore, MD 21236, USA",DMV Schedule
Parmer Dentistry,"9900 W Parmer Ln suite a205, Austin, TX 78717, USA",Texas
Cooper Dental,"611 South White Horse Pike, Lindenwold, NJ 08021, USA",Penn/South Jersey
Stein Dental Care,"99 White Bridge Rd suite 204, Nashville, TN 37205, USA",Nashville
Sweet Tooth Dentistry,"1449 Dolley Madison Blvd suite d, McLean, VA 22101, USA",DMV Schedule
Deliveries Sweet Tooth Dentistry,"1449 Dolley Madison Blvd suite d, McLean, VA 22101, USA",DMV Schedule
Your Dentalist,"2164 NJ-35 building b, Sea Girt, NJ 08750, USA",Northeast
Perch Dentistry,"14005 Ronald Reagan Blvd suite b, Cedar Park, TX 78641, USA",Texas
True Smiles Family and Cosmetic Dentistry,"8000 S Gessner Rd suite 400, Houston, TX 77036, USA",Texas
Kohli Dental,"464 S Ridgewood Ave, Daytona Beach, FL 32114, USA",Florida
"Jason Black, DDS","3624 N Hills Dr., Suite A103, Austin, TX 78731",Texas
Cambridge Family Dentistry,"872 Massachusetts Ave., Suite 2-4, Cambridge, MA 02139",Boston
Belmont Family Dentistry,"75 Trapelo Rd., Belmont, MA 02478","Boston, Northeast"
Banana River Dental,"141 Coconut Drive, Indialantic, Florida 32903, USA",Florida
Jennifer Lopez Dental,"10805 Sunset Dr., Miami, FL 33173",Florida
Prime Dental Center,"212 N White Horse Pike, Stratford, NJ 08084",Penn/South Jersey
Mamas Pediatric Dentistry,"2501 N Glebe Rd., Suite 203, Arlington, VA 22207",DMV Schedule
Deliveries at Mamas Pediatric Dentistry,"2501 N Glebe Rd., Suite 203, Arlington, VA 22207",DMV Schedule
Lakeline Family Dental,"1201 N Lakeline Blvd., Suite 300, Cedar Park, TX 78613",Texas
St. Bethlehem Dental Care,"2088 Lowes Dr., Suite C, Clarksville, TN 37040",Nashville
A+ Dental - Norwalk,"160 East Ave, Norwalk, CT 06851, USA",Northeast
A+ Dental - Bridgeport,"2660 Main St suite 217, Bridgeport, CT 06606, USA",Northeast
Compassion Smiles Dentistry,"171 N Denton Tap Rd suite 200, Coppell, TX 75019, USA",Texas
Millennium Dentistry,"2350 Ocean Ave suite 6, Brooklyn, NY 11229, USA","Boston, Northeast"
Dr. Joseph DeRario DMD - Loch Arbour,"417 Euclid Ave, Loch Arbour, NJ 07711, USA",Northeast
Burton Dental Care,"1513 Johnson Ferry Road suite 190, Marietta, GA, USA",Atlanta
Smile Design Studio,"1331 S International Pkwy suite 2271, Lake Mary, FL 32746, USA",Florida
Aesthetic Dental Creations,"21 S Hope Chapel Rd suite 124, Jackson Township, NJ 08527, USA","Penn/South Jersey, Northeast"
Hastings Acosta Family Dentistry,"3727 SE Ocean Blvd., Suite 208, Stuart, FL 34996",Florida
Holmdel Center for Esthetic Periodontics,"723 N Beers St., Suite 1D, Holmdel, NJ 07733",Northeast
Smile Care Dental Associates,"264 Broad St., Bloomfield, NJ 07003",Northeast
LoPresti Dental Aesthetics,"620 Shrewsbury Ave., Tinton Falls, NJ 07701",Northeast
"Mark Blum, DDS","7800 W Oakland Park Blvd., Suite 301B, Sunrise, FL 33351",Florida
Karl Family Dental Associates,"4262 Richmond Ave., Staten Island, NY 10312",Northeast
Conley Family Dentistry,"1540 Pointer Ridge Pl., Suite A, Bowie, MD 20716",DMV Schedule
Deliveries Conley Family Dentistry,"1540 Pointer Ridge Pl., Suite A, Bowie, MD 20716",DMV Schedule
Cypress Creek Dental,"10920 Fry Rd., Suite 200, Cypress, TX 77433",Texas
"Trey Kaliher, DDS","4300 Medical Pkwy., Austin, TX	78756",Texas
3 Little Birds Pediatric Dentistry,"3104 Bridgeboro Rd., Suite A, Delran, NJ	08075","Penn/South Jersey, Northeast"
Comfort Family Dental,"2036 W 95th St., Chicago, IL 60643",Chicago
Smile Magic Dental,"5261 McKinney Ranch Pkwy., Suite 400, McKinney, TX 75070",Texas
IKON Dental Group,"58 W Main St suite 1, Plainville, CT 06062, USA",Northeast
"Delray Dental, Ritota & Ritota, P.A.","3401 S Federal Hwy, Delray Beach, FL 33483, USA",Florida
Pleasant Smiles,"234D Pleasant St, Methuen, MA 01844, USA",Boston
Stuart Prosthetic Dentistry,"834 SE Ocean Blvd, Stuart, FL 34994, USA",Florida
Niiidental Studio,"4150 Eldorado Pkwy suite 300, McKinney, TX 75070, USA",Texas
Spring Dental,"1175 Spring Centre S Blvd., Suite 1010, Altamonte Springs, FL 32714",Florida
TD30,,Northeast
"Anil Dwivedi, DMD","2071 Chain Bridge Rd suite 410, Vienna, VA 22182, USA",DMV Schedule
"Deliveries Anil Dwivedi, DMD","2071 Chain Bridge Rd suite 410, Vienna, VA 22182, USA",DMV Schedule
Centre for Cosmetic Dentistry,"275 Wilmington West Chester Pike suite 111, Chadds Ford, PA 19317, USA",Penn/South Jersey
Todays Dental of Beverly,"11238 S Western Ave., Chicago, IL 60643",Chicago
Bridgeview Dental,"3801 N Capital of Texas Hwy J240, Austin, TX	78746",Texas
Cloverly Family Dental,"714 Cloverly St., Silver Spring, MD 20905",DMV Schedule
Deliveries Cloverly Family Dental,"714 Cloverly St., Silver Spring, MD 20905",DMV Schedule
My Dental - New Bedford,"770 Purchase St., New Bedford, MA	02740",Boston
TD1,,Northeast
Osborne & Cutbirth Family Dental,"11637 Telge Rd., Suite 106, Cypress	TX 77429",Texas
Bhavani Family Dental,"25055 Riding Plaza., Suite 290, Chantilly, VA 20152",DMV Schedule
Deliveries Bhavani Family Dental,"25055 Riding Plaza., Suite 290, Chantilly, VA 20152",DMV Schedule
Toothwise Dental,"12809 North FM 620 suite 100, Austin, TX 78750, USA",Texas
SmileWorks Dentistry,"2927 Ridge Rd suite 113, Rockwall, TX 75032, USA",Texas
Dellanira Rosario-Leger Dentistry,"701 W 179th St suite 3, New York, NY 10033, USA",Northeast
Minty Dental Boutique,"4200 W Peterson Ave suite 136, Chicago, IL 60646, USA",Chicago
SGI Dentistry,"9440 W Commercial Blvd suite 105, Sunrise, FL 33351, USA",Florida
Amiable Dental Care,"5101 Gate Pkwy N suite 4, Jacksonville, FL 32256, USA",Florida
Pristine Smiles,"11300 Rockville Pike suite 1013, Rockville, MD 20852, USA",DMV Schedule
Deliveries Pristine Smiles,"11300 Rockville Pike suite 1013, Rockville, MD 20852, USA",DMV Schedule
NYPD Precinct 3 (3rd location),,"Boston, Northeast"
Quality Dental of Bowie - Virtual,,DMV Schedule
CocoDental,"721 US Hwy 1, Suite 106, North Palm Beach, FL 33408",Florida
Nuvo Dental,"11895 S Apopka Vineland Rd., Suite 180, Orlando, FL 32836",Florida
79th Precinct,,Northeast
83rd Precinct,,Northeast
Reading Dental,"270 Main St., Reading, MA 01867",Boston
Paoli Family Dentistry,"16 Industrial Blvd., Suite 216, Paoli, PA 19301",Penn/South Jersey
Armed Forces Dental Center,,Nashville
Kids 1st Pediatric Dentistry,"6026 Park Blvd., Pinellas Park, FL 33781",Florida
Lakeside Dental Solutions,"6705 Heritage Pkwy., Suite 100	Rockwall, TX 75087",Texas
Arguello Dentistry,"100 FL-7, Suite 300, Margate, FL 33063",Florida
PS Dental,"1192 Farmington Ave, Bristol, CT 06010, USA",Northeast
Three Stones Dentistry,"3855 Glade Rd suite 150, Colleyville, TX 76034, USA",Texas
Exclusive Dentistry,"250 North Alafaya Trail suite 125, Orlando, FL 32828, USA",Florida
"John L. Watstein, DDS","10905 Fort Washington Rd, Fort Washington, MD 20744, USA",DMV Schedule
"Deliveries John L. Watstein, DDS","10905 Fort Washington Rd, Fort Washington, MD 20744, USA",DMV Schedule
"Healthy Smiles, Inc.","2005 W Addison St., Chicago, IL 60618",Chicago
LDC Dental,"292 Hurffville Grenloch Rd., Suite 100, Sewell, NJ 08080",Penn/South Jersey
Lets Smile Dental,"120 E 116th St., New York, NY 10029",Northeast
Titan Dental Care,"21351 Gentry Dr., Suite 135, Sterling, VA 20166",DMV Schedule
Dental Made Easy - Astoria,"28-18 Steinway St., Astoria, NY 11103",Northeast
76th precinct,,Northeast
"Ladys Cabrera, DMD","6500 Cow Pen Rd., Suite 203, Miami Lakes, FL 33014",Florida
Wilson Dental Spa,"3450 Old Washington Rd., Suite 301, Waldorf, MD 20602",DMV Schedule
Deliveries Wilson Dental Spa,"3450 Old Washington Rd., Suite 301, Waldorf, MD 20602",DMV Schedule
Linares Family Dental,"4009 Bellaire Blvd., Suite DD, Houston, TX 77025",Texas
Deliveries Alexandria Dental Smiles,,DMV Schedule
Virtual scanner program,,"Penn/South Jersey, Boston, Northeast, Florida, Atlanta, Chicago, Texas, Nashville, DMV Schedule"
Caring Dental Associates,"1961 Morris Ave suite b4, Union, NJ 07083, USA",Northeast
Dazzle Dental,"8516 Anderson Mill Rd suite 200, Austin, TX 78729, USA",Texas
"Karen E. Williamson, DDS","560 W Ralph Hall Pkwy suite 104, Rockwall, TX 75032, USA",Texas
"Karim P. Banani, DDS","6410 Fannin St suite 800, Houston, TX 77030, USA",Texas
512ooth Family Dentistry,"8701 State Hwy 71 suite 102, Austin, TX 78735, USA",Texas
Advanced Gentle Dentistry of Park Slope,"443 9th Street, Brooklyn, NY 11215, USA",Northeast
Braden River Dental,"3720 53rd Ave. E, Bradenton, FL 34203",Florida
Suntree Smiles,"6555 N Wickham Rd., Suite 106, Melbourne, FL 32940",Florida
Todays Dentistry,"5667 N Clark St., Chicago, IL 60660",Chicago
Prestigious Smiles Dentistry,"14119 Stuebner Airline Rd., Houston, TX 77069",Texas
super,,DMV Schedule
Lux Dental Delray Beach,"5050 W Atlantic Ave., Delray Beach, FL 33484",Florida
ProtoDental,"143 N Carll Ave., Babylon, NY 11702",Northeast
Premium Family Dentistry,"7500 Hanover Pkwy., Suite 202, Greenbelt, MD 20770",DMV Schedule
Deliveries Premium Family Dentistry,"7500 Hanover Pkwy., Suite 202, Greenbelt, MD 20770",DMV Schedule
Bayou City Smiles - Montrose,"888 Westheimer Rd., Suite 212, Houston, TX 77006",Texas
Towne Lake Dentistry,"9740 Barker Cypress Rd., Suite 113, Cypress TX 77433",Texas
Fantastic Smiles of Houston,"2617 W Holcombe Blvd., Suite 1, Houston, TX 77025",Texas
Smile Venue Dental,"15415 N Dale Mabry Hwy., Tampa, FL 33618",Florida
Tappan Comprehensive Dentistry,"8611 2nd Ave suite 201, Silver Spring, MD 20910, USA",DMV Schedule
Deliveries Tappan Comprehensive Dentistry,"8611 2nd Ave suite 201, Silver Spring, MD 20910, USA",DMV Schedule
Dental Remedies,"2510 U.S. 1 suite b, St. Augustine, FL 32086, USA",Florida
Bridal Show,,Boston
Bayou City Smiles - Sawyer Yards,"2313 Edwards St suite 150, Houston, TX 77007, USA",Texas
Drip Dental,"136 Drifting Wind Run suite 109, Dripping Springs, TX 78620, USA",Texas
Viva Smile Family Dental,"200 W Main St, Pflugerville, TX 78660, USA",Texas
Mile IQ (AR entry),,
Dental Touch,"2618 W Peterson Ave, Chicago, IL 60659, USA",Chicago
Midtown Richmond Dentistry,"4910 Caskie St, Richmond, VA 23230, USA",DMV Schedule
All Smiles Dentistry,"1640 Highland Falls Dr suite 901, Leander, TX 78641, USA",Texas
Grand Dental,"23033 Grand Circle Boulevard suite 110, Katy, TX 77450, USA",Texas
LuxDen Dental Center,"2579 E 17th St suite 11, Brooklyn, NY 11235, USA",Northeast
Complete Dental Care 2,"1532 Flatbush Ave, Brooklyn, NY 11210, USA",Northeast
Evenly Virtual - 1,,DMV Schedule
"Robert Rix, DDS","14334 Old Marlboro Pike, Upper Marlboro, MD20772",DMV Schedule
"Deliveries Robert Rix, DDS","14334 Old Marlboro Pike, Upper Marlboro, MD 20772",DMV Schedule
LA Family Dentistry,"4835 E 4th Ave., Suite A, Hialeah, FL 33013",Florida
New Smiles,"2875 W Main St., Suite 102, Frisco, TX 75036",Texas
travel to other region (admin only),,
Public Transit travel,,
training for Lesley,,Penn/South Jersey
Williamsburg Smile Care,"107 Bulifants Blvd., Suite B, Williamsburg, VA 23118",DMV Schedule
Emerald Smiles Dental,"44 Elm St., Suite 1, Huntington, NY 11743",Northeast
Henrico Dental,"4440 Springfield Rd., Suite 103, Glen Allen,VA 23060",DMV Schedule
Charisma Dental,"557 E US Hwy 80, Suite 130, Forney, TX 75126",Texas
Kohlers Crossing Dental,"4221 Benner Rd., Suite 200, Kyle, TX 78640",Texas
Dream Dental Services,"210 Loraine Dr., Altamonte Springs,	 FL 32714",Florida
Childrens & Pediatric Dentistry of Boca Raton,"600 S Dixie Hwy., Suite 207, Boca Raton, FL 33432",Florida
Great Smile Dental,"1150 Webster Ave., 2nd Floor, Bronx, NY 10656",Northeast
Thornwood Family Dental,"1900 Silver Glen Rd., South Elgin, IL 60177",Chicago
Dental Domain,"3607 S Main St., Suite 107, Stafford, TX 77477",Texas
Grace Dental,"15609 Ronald Reagan Blvd., Suite B - 150, Leander, TX 78641",Texas
Patriot Family Dental,"1715 Wilma Rudolph Blvd., Suite A, Clarksville, TN 37040",Nashville
Excell Dental Care,"304 E Tidwell Rd., Houston, TX 77022",Texas
Miro Dental Centers - Hollywood,"7071 Taft St, Hollywood, FL 33024, USA",Florida
Serenity Laser Dental PC,"1885 Rockaway Parkway, Brooklyn, NY, USA",Northeast
Wicker Park Dental Studio,"1282 N Milwaukee Ave, Chicago, IL 60622, USA",Chicago
VK Dental Care PC,"680 W 204th St suite 1c, New York, NY 10034, USA",Northeast
Pine Grove Dental Care,"1196 Pine Grove Rd, Tallapoosa, GA 30176, USA",Atlanta
Oceanside Gentle Dentistry,"2323 NE 26th Ave suite 110, Pompano Beach, FL 33062, USA",Florida
"Lisa Seabra-Veiga, DMD","1389 W Main St., Suite 202, Waterbury, CT 06708",Northeast
State Street Dental Care,"1011 State St., Suite 110, Lemont, IL 60439",Chicago
Cosmetic & Family Dentistry,"6900 Turkey Lake Rd., Suite 1-9, Orlando, FL 32819",Florida
"Michael W. Etter, DDS","239 Taunton Blvd., Suite C, Medford, NJ 08055",Penn/South Jersey
A+ Family Dental,"17748 Katy Fwy., Suite 5, Houston, TX 77094",Texas
Walnut Creek Dental,"554 N. Walnut Creek Dr., Mansfield, TX 76063",Texas
Glow Pediatric Dentistry,"801 Wells Branch Pkwy., Suite 130, Pflugerville, TX 78660",Texas
Potomac Dental Clinic,"5862 Hubbard Dr, Rockville, MD 20852, USA",DMV Schedule
Deliverie Potomac Dental Clinic,"5862 Hubbard Dr, Rockville, MD 20852, USA",DMV Schedule
Westfields Dental,"3903 Fair Ridge Dr suite 214, Fairfax, VA 22033, USA",DMV Schedule
Deliveries Westfields Dental,"3903 Fair Ridge Dr suite 214, Fairfax, VA 22033, USA",DMV Schedule
Dental Flossophy,"7575 Dr Phillips Blvd suite 160, Orlando, FL 32819, USA",Florida
Hillcrest Dental,"3600 Formosa Ave, Orlando, FL 32804, USA",Florida
Grand Oaks Dentistry,"8700 Menchaca Rd suite 102, Austin, TX 78748, USA",Texas
Family Cosmetic Dentistry,"16618 Saddle Club Rd, Weston, FL 33326, USA",Florida
Next Gen Dental,"10001 S I-35 Frontage Rd ste 350, Austin, TX, USA",Texas
New York - Events,,Northeast
Ayars Pediatric Dentistry,"536 E Pleasant Run Rd, DeSoto, TX 75115",Texas
Cre8 Smile Studio,"12620 Beach Boulevard suite 18, Jacksonville, FL, USA",Florida
Advanced Dentistry,"9920 Highway 90 Alternate a suite 100 c, Sugar Land, TX 77478, USA",Texas
NYC Dental Pro,"45 Rockaway Parkway, Valley Stream, NY 11580, USA",Northeast
Elite Dental Group,"2090 Godby Rd, College Park, GA 30349, USA",Atlanta
Heights Dental Tampa,"6008 N Florida Ave suite 110, Tampa, FL 33604, USA",Florida
Generations Dental Arts,"2031 N Mt Juliet Rd suite 100, Mt. Juliet, TN 37122, USA",Nashville
Thrive Dental Care,"9347 Baymeadows Rd suite 105, Jacksonville, FL 32256, USA",Florida
The New Pediatric Dental Care of Greater Orlando,"11309 Lake Underhill Rd suite 103, Orlando, FL 32825, USA",Florida
Evenly Virtual - 2,,DMV Schedule
